"Metodo","Indicador","ATT","SE","p_valor","IC_inf","IC_sup"
"1. DiD Clássico (TWFE)","Mortalidade",-0.247,0.4437,0.5778,-1.1166,0.6227
"1. DiD Clássico (TWFE)","Morbidade",4.1915,7.3039,0.5661,-10.1242,18.5073
"3. Callaway & Sant'Anna (2021)","Mortalidade",-2.4636,0.9696,NA,-4.3641,-0.5631
"3. Callaway & Sant'Anna (2021)","Morbidade",11.1635,14.0247,NA,-16.325,38.652
