"Especificacao","ATT","SE","IC_inf","IC_sup"
"Original (never treated)",-2.46356014222517,0.969642247434304,-4.36405894719641,-0.563061337253935
"Not yet treated",-2.454844534641,0.932271501034471,-4.28209667666857,-0.62759239261344
"Restrito t <= 4",-0.944365573174378,1.0416829635652,-2.98606418176217,1.09733303541341
"Restrito t <= 5",-0.861740309515452,1.15212891304875,-3.119912979091,1.3964323600601
