"Especificacao","ATT","SE","IC_inf","IC_sup"
"Original (never treated)",-2.47154018207535,1.01017952039281,-4.45149204204526,-0.491588322105446
"Not yet treated",-2.46265709366182,0.970981651233333,-4.36578113007915,-0.559533057244484
"Restrito t <= 4",-0.948360889540404,1.0173151552732,-2.94229859387587,1.04557681479506
"Restrito t <= 5",-0.867565267052397,1.21653994775505,-3.2519835646523,1.51685303054751
